song_id,song_length,genre_ids,artist_name,composer,lyricist,language,artist_count,comp_count,lyric_count,genre_count,primary_genre,secondary_genre,tertiary_genre,ref_year
o0kFgae9QtnYgRkVPqLJwa05zIhRlUjfF7O1tDw0ZDU=,197.328,444,BLACKPINK,TEDDY|  FUTURE BOUNCE|  Bekuh BOOM,TEDDY,31.0,1,3,1,1,444,0,0,0.0
btcG03OHY3GNKWccPP0auvtSbhxog/kllIIOx5grE/k=,232.629,352|1995,Kodaline,Stephen Garrigan| Mark Prendergast| Vincent May| Jacknife Lee| Jason Boland,Stephen Garrigan| Mark Prendergast| Vincent May| Jacknife Lee| Jason Boland,52.0,1,5,5,2,352,1995,0,2014.0
an6EdIr+Z+KbqIVQiXn5PKkcXncefQ7hhWONseRuub4=,282.697,359,Coldplay,Chris Martin| Guy Berryman| Jonny Buckland| Mikkel S Eriksen| Will Champion| Tor Erik Hermansen,no_lyricist,52.0,1,6,0,1,359,0,0,2015.0
+M/yM08pYwOznHRvf9Aj95A9M85wn4/jsTX0ye1KR2c=,281.054,139,The Weeknd,Abel Tesfaye| Timothy Mckenzie| Carlo Montagnese,no_lyricist,52.0,1,3,0,1,139,0,0,2015.0
R/AOsz3pUshdY/o9mkBoLbJKMxQlf7cgjvEEOifJwkI=,284.525,1259,BANGTAN BOYS,UTA|HIRO|RAP MONSTER|SUGA|J-HOPE|PDOGG,PDOGG|UTA|HIRO|RAP MONSTER|SUGA|J-HOPE,17.0,1,6,6,1,1259,0,0,2015.0
Noeu7vuMPsE0YOVjjER8noULjFaZC7VFnRAdJ5EsHzA=,242.811,465,鄭秀文 (Sammi Cheng),Gigi Leung,Keith Chan| Keith Chan Siu Kei,24.0,1,1,2,1,465,0,0,2003.0
bFWkbddI7QNmp3ScRgdBBrlu2xsp1w1WsjZJH+ktAV8=,304.274,458,Angeline Wong 黄晓凤,no_composer,no_lyricist,59.0,1,0,0,1,458,0,0,2016.0
/mhc9xzwk0MmpFStujD2OAtqrHpD4u3EbMuBMsSydWg=,242.602,465,Taylor Swift,Taylor Swift,no_lyricist,52.0,1,1,0,1,465,0,0,2010.0
WVEnF+1/NrltGDEQoDC/LSp8cdE/O4phQ35tb45ps7I=,217.687,465,Sugar Eyes,Chinorot,Chinorot,45.0,1,1,1,1,465,0,0,2011.0
XLeagyLyc7Hkw1q/9tGSOIKWXcUat62aQDRqR5J0708=,239.351,880|102,Edward Chen| Agnes Chen,Edward Chen,no_lyricist,59.0,2,1,0,2,880,102,0,2015.0
WWbhlfCA1ZcNqYHo9y94KQetPhYgDCL91nt/yX4D/IQ=,226.368,2157,方順吉,蔡宜汝,蔡宜汝,10.0,1,1,1,1,2157,0,0,2016.0
tquagF+ylK0v/v4sslOr9Kc7Ggnw/X0l0n6mpZFPDAo=,268.631,465,喬毓明 (Ming Bridges),喬毓明,小寒,3.0,1,1,1,1,465,0,0,2010.0
ah4sqD3kSj1om6DKe9vgnYbkdMVuX1H6xvZ3HoQRFvM=,201.978,786,Park Heykyoung| LONG:D,no_composer,no_lyricist,31.0,2,0,0,1,786,0,0,2017.0
gP4t+REbMdgJSVu+IfNMuCeOxLGQO8MD+vsxWLsnqOo=,227.395,458,蔡依林 (Jolin Tsai) & Alesso,倪子岡,李格弟,3.0,1,1,1,1,458,0,0,2016.0
2qFLCm6dUDR7uSAAE3lTmL+r/iDCuDbZMBAHQa4lcF8=,252.725,465,Cake Poonyamund,Cake Poonyamund,no_lyricist,45.0,1,1,0,1,465,0,0,2015.0
k9lzMLRAAI5TTwvVd8/QzrHxUDXEn1hSfpzvLuaYz0M=,291.898,0,Amit Trivedi,no_composer,no_lyricist,38.0,1,0,0,0,0,0,0,2012.0
6rbS3zN2sTHlg2agCbkjsUY0opbREdzYvc9RVPzKaDY=,218.906,1096,A.R.Rahman|Sid Sriram|Aaryan Dinesh Kanagaratnam,no_composer,no_lyricist,38.0,3,0,0,1,1096,0,0,2016.0
hoFKUz8SHAKk2Gtkk4sjrCsERofRUipY4xLB+KLYImk=,217.443,1152,Kishore Kumar | Lata Mangeshkar & Mukesh,no_composer,no_lyricist,38.0,2,0,0,1,1152,0,0,2014.0
ELZIA8N8TNAyPVejYVDSI506j5wVgV1WNvTfN0j+rS4=,219.324,465,Super 4,葉肇中,宋沛言,24.0,1,1,1,1,465,0,0,0.0
